activity	time	p
China	1990	52.02161163073689
China	1991	52.08325862075971
China	1992	51.500917273895396
China	1993	50.6329287764707
China	1994	49.9426959069822
China	1995	49.6031103132985
China	1996	48.3924522744438
China	1997	48.0012409400067
China	1998	47.907643981997204
China	1999	47.3966896762665
China	2000	46.200056347888896
China	2001	45.2523408153918
China	2002	43.599339812690204
China	2003	41.606234661809
China	2004	39.8428260613506
China	2005	38.5730966495374
China	2006	37.6015877423412
China	2007	37.0137663297364
China	2008	36.7435137159405
China	2009	36.6013371826769
China	2010	36.489722882657
China	2011	36.5541919887164
China	2012	36.6549076506147
China	2013	36.834603872708
China	2014	37.175639895648395
China	2015	37.71385735158329
China	2016	38.4988746045366
China	2017	39.4359455718714
China	2018	40.445268750093796
India	1990	71.733071448654
India	1991	71.309031550229
India	1992	70.8021575311115
India	1993	70.1952381207558
India	1994	69.4566977544078
India	1995	68.5869359474168
India	1996	67.8836178170107
India	1997	67.0641950918761
India	1998	66.1515951085447
India	1999	65.1808233815779
India	2000	64.1803725759656
India	2001	63.428101425460206
India	2002	62.6032528551153
India	2003	61.731576425163496
India	2004	60.8392023472969
India	2005	59.9417432152341
India	2006	59.2142970399348
India	2007	58.472049800348394
India	2008	57.705702890706704
India	2009	56.882513750684296
India	2010	55.98626006362579
India	2011	55.2086374202875
India	2012	54.307844253388005
India	2013	53.354266338760205
India	2014	52.4483667544744
India	2015	51.643441741344795
India	2016	50.888137037370704
India	2017	50.289637256324504
India	2018	49.775166946125296
Iraq	1990	98.4890702957148
Iraq	1991	97.1362368298212
Iraq	1992	95.6420197888018
Iraq	1993	94.12420267848209
Iraq	1994	92.73572849266891
Iraq	1995	91.5442644344515
Iraq	1996	90.3337482264168
Iraq	1997	89.3272417731308
Iraq	1998	88.441257276918
Iraq	1999	87.54990288179708
Iraq	2000	86.59471417342829
Iraq	2001	86.07872744250342
Iraq	2002	85.4191380808135
Iraq	2003	84.6756008339478
Iraq	2004	83.91685626467421
Iraq	2005	83.1509689034405
Iraq	2006	83.0907809458909
Iraq	2007	83.0171123512208
Iraq	2008	82.8700992858365
Iraq	2009	82.6374776968
Iraq	2010	82.3656303235622
Iraq	2011	80.3793347710311
Iraq	2012	78.5303425340529
Iraq	2013	76.8332994141582
Iraq	2014	75.22713439729529
Iraq	2015	73.654100285337
Iraq	2016	73.166684364586
Iraq	2017	72.4310593159324
Iraq	2018	71.55649884688941
Japan	1990	43.561654278546804
Japan	1991	43.3250339185579
Japan	1992	43.299349016834896
Japan	1993	43.4519802106393
Japan	1994	43.6928783408039
Japan	1995	43.9754301859771
Japan	1996	44.360731360207005
