,country,region,co21980,co2pc1980,co2pc1981,co2pc1982,co2pc1983,co2pc1984,co2pc1985,co2pc1986,co2pc1987,co2pc1988,co2pc1989,co2pc1990,co2pc1991,co2pc1992,co2pc1993,co2pc1994,co2pc1995,co2pc1996,co2pc1997,co2pc1998,co2pc1999,co2pc2000,co2pc2001,co2pc2002,co2pc2003,co2pc2004,co2pc2005,co2pc2006,co2pc2007,co2pc2008,co2pc2009,co2pc2010,co2pc2011,co2pc2012,co2pc2013,co2pc2014,gdppc1980,gdppc1981,gdppc1982,gdppc1983,gdppc1984,gdppc1985,gdppc1986,gdppc1987,gdppc1988,gdppc1989,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,logco2pc1980,logco2pc1981,logco2pc1982,logco2pc1983,logco2pc1984,logco2pc1985,logco2pc1986,logco2pc1987,logco2pc1988,logco2pc1989,logco2pc1990,logco2pc1991,logco2pc1992,logco2pc1993,logco2pc1994,logco2pc1995,logco2pc1996,logco2pc1997,logco2pc1998,logco2pc1999,logco2pc2000,logco2pc2001,logco2pc2002,logco2pc2003,logco2pc2004,logco2pc2005,logco2pc2006,logco2pc2007,logco2pc2008,logco2pc2009,logco2pc2010,logco2pc2011,logco2pc2012,logco2pc2013,logco2pc2014,loggdppc1980,loggdppc1981,loggdppc1982,loggdppc1983,loggdppc1984,loggdppc1985,loggdppc1986,loggdppc1987,loggdppc1988,loggdppc1989,loggdppc1990,loggdppc1991,loggdppc1992,loggdppc1993,loggdppc1994,loggdppc1995,loggdppc1996,loggdppc1997,loggdppc1998,loggdppc1999,loggdppc2000,loggdppc2001,loggdppc2002,loggdppc2003,loggdppc2004,loggdppc2005,loggdppc2006,loggdppc2007,loggdppc2008,loggdppc2009,loggdppc2010,loggdppc2011,loggdppc2012,loggdppc2013,loggdppc2014,co21980,co21981,co21982,co21983,co21984,co21985,co21986,co21987,co21988,co21989,co21990,co21991,co21992,co21993,co21994,co21995,co21996,co21997,co21998,co21999,co22000,co22001,co22002,co22003,co22004,co22005,co22006,co22007,co22008,co22009,co22010,co22011,co22012,co22013,co22014
0,Aruba,asia,1467192,,,,,,,2.868319392,7.235198033,10.02617921,10.6347326,26.37450321,26.0461298,21.4425588,22.00078616,21.03624511,20.77193616,20.31835337,20.42681771,20.58766915,20.31156677,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94772597,27.89502282,26.22955267,25.91532206,24.67052887,24.50751622,13.15772231,8.353561008,8.410064178,,,,,,,6472.502029,7885.796545,9764.789979,11392.45581,12307.31174,13496.00339,14046.504,14936.82704,16241.04632,16439.35636,16586.06844,17927.74964,19078.34319,19356.20339,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,,,,,,,1.053726281,1.978957731,2.305199593,2.364125305,3.272397756,3.259869189,3.065377676,3.091078187,3.046246908,3.033602853,3.011524584,3.016848631,3.024692312,3.011190515,3.26556379,3.25555579,3.245368252,3.274138411,3.277797102,3.303242994,3.293898914,3.328448279,3.26688674,3.254834379,3.205609368,3.198979855,2.577008834,2.122687916,2.129429105,,,,,,,8.775318025,8.972818515,9.186538336,9.340706644,9.417948815,9.510148875,9.550128818,9.611585056,9.69529704,9.707433517,9.716318371,9.794105051,9.856309106,9.870768236,9.934050735,9.936391819,9.92509674,9.944330104,10.02437576,10.05621034,10.08769369,10.15949058,10.20672441,10.11173891,10.06529184,10.12607068,10.11511295,10.12763458,10.14774933,0,,,,,,179.683,447.374,612.389,649.059,1639.149,1683.153,1463.133,1595.145,1613.48,1668.485,1690.487,1745.492,1796.83,1807.831,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746
1,Afghanistan,northamerica,4721171,0.131782918,0.150614656,0.163103934,0.201224305,0.231961346,0.293956932,0.267771904,0.269229596,0.246823271,0.233882195,0.210643419,0.183363552,0.096196581,0.085087108,0.075806494,0.068639862,0.062434611,0.056642345,0.052763218,0.04072254,0.037234781,0.037846136,0.047377324,0.050481336,0.038410043,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.310341015,0.293946407,272.6552857,264.1113175,,,,,,,,,,,,,,,,,,,,,179.4264945,190.6840088,211.3819695,242.0313792,263.7337347,359.69348,364.6604654,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,-2.026599271,-1.893030651,-1.813367649,-1.603335048,-1.461184533,-1.224322012,-1.317619765,-1.312190747,-1.3990827,-1.452937731,-1.557588532,-1.696284474,-2.341361462,-2.464079747,-2.579571317,-2.678881834,-2.773635494,-2.870998429,-2.94194096,-3.200973531,-3.290511981,-3.274226391,-3.049611561,-2.986151595,-3.259436317,-2.961447472,-2.773748883,-2.478215414,-1.885712551,-1.433811464,-1.237917012,-0.900357795,-1.0637797,-1.170083538,-1.224357817,5.608208308,5.576370671,,,,,,,,,,,,,,,,,,,,,5.189765623,5.250617654,5.353666779,5.489067384,5.574940014,5.885252224,5.898966689,6.08239249,6.297667252,6.382090678,6.46438896,6.457028718,6.419760915,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2614.571,2438.555,1393.46,1345.789,1294.451,1243.113,1177.107,1096.433,1041.428,821.408,773.737,817.741,1070.764,1195.442,949.753,1327.454,1650.15,2273.54,4206.049,6769.282,8463.436,12240.446,10755.311,10014.577,9809.225
2,Angola,asia,348581,0.640966402,0.61113512,0.519354626,0.551348574,0.520982856,0.471902772,0.451618883,0.544085132,0.463508296,0.437295462,0.431743615,0.41553083,0.410522932,0.441721098,0.288119068,0.787032547,0.726233461,0.496361245,0.47581516,0.577082914,0.581961496,0.574316054,0.722958875,0.500225396,1.001878117,0.985736355,1.105019027,1.203134,1.185000494,1.234425074,1.244091538,1.252680841,1.330218567,1.25377617,1.290306776,710.9816481,642.383858,619.9613575,623.4405848,637.7152307,758.2375762,685.2700853,756.261853,792.3031202,890.5541365,947.7041821,865.6927296,656.361756,441.2006733,328.6732947,397.1794508,522.6438073,514.2952232,423.5936602,387.784316,556.8363181,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,-0.444778238,-0.492437199,-0.655168342,-0.595388049,-0.652038144,-0.750982306,-0.794916634,-0.608649552,-0.768930996,-0.827146198,-0.839923351,-0.878198468,-0.890323488,-0.817076596,-1.244381454,-0.239485676,-0.319883744,-0.700451301,-0.742725819,-0.549769324,-0.541350992,-0.554575417,-0.324402939,-0.69269649,0.001876356,-0.014366349,0.099862554,0.184929819,0.169743191,0.210605335,0.218405575,0.225285928,0.285343265,0.226159933,0.254880001,6.566646618,6.465186035,6.429657149,6.435253468,6.457891837,6.630996762,6.529813046,6.628387683,6.674944046,6.791843894,6.854042409,6.76353003,6.486712094,6.089499813,5.795064232,5.984388196,6.258900175,6.242797465,6.048774647,5.960449298,6.322271333,6.26783323,6.771356341,6.890569342,7.135340189,7.550883272,7.863099965,8.046227704,8.314082979,8.046479155,8.185317836,8.437168556,8.537014604,8.566912893,8.59571052,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,5115.465,5089.796,5196.139,5775.525,3890.687,10975.331,10458.284,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30340.758,33399.036,32617.965,34763.16
3,Albania,europe,0,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,1.678106654,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977668,717.3805674,813.7902636,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.539925,4114.134899,4094.358816,4437.177794,4247.614342,4413.082887,4578.667934,0.66013746,0.990664694,0.965026336,0.987024989,0.991135229,0.977579747,0.980337715,0.881310315,0.846554097,1.023616822,0.517666166,0.27171472,-0.255247266,-0.32325358,-0.510486168,-0.42382696,-0.451574002,-0.712605145,-0.579333904,-0.040650747,-0.022067014,0.051932058,0.206640692,0.345500782,0.319335331,0.345359917,0.264344124,0.279399004,0.394950785,0.402527597,0.456521644,0.589848274,0.526447952,0.559164874,0.68247206,,,,,6.460662752,6.461258638,6.542289631,6.514406545,6.481231467,6.548212794,6.425242431,5.818856643,5.302569413,5.90612239,6.374030014,6.620878814,6.917683499,6.575606477,6.701702671,6.940456414,7.027033479,7.155910918,7.262014702,7.520840775,7.772154577,7.891251204,7.997240464,8.187309608,8.382641833,8.32218386,8.317365407,8.397773821,8.354112773,8.392328792,8.429163391,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,5515.168,4286.723,2515.562,2335.879,1925.175,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4910.113,5064.127,5716.853
6,United Arab Emirates,mena,121015,36.19849163,33.60995887,31.65478629,28.76982138,35.85465517,36.54481087,32.65713505,31.10002113,29.72696252,31.57475397,28.44462414,29.43022518,28.31938861,30.36176287,31.87389257,29.24987806,16.17068196,15.58984481,28.96879086,26.42410404,35.91576427,30.70638223,24.34879643,28.78331607,27.83302905,25.3144861,23.37186043,21.98593349,22.19548989,21.21405954,18.80851973,18.49161681,19.29492038,18.55923617,22.93960631,42764.45666,44987.2098,40026.16625,34843.1029,32309.80774,29720.91947,23467.97667,23726.15233,22295.14611,24028.19288,27729.46642,26612.33554,26420.87275,25596.69227,25847.92612,27222.03586,28975.0229,29512.66374,26899.60177,28470.83786,33291.41937,31280.78428,31567.47371,33499.09375,36333.24984,39365.33592,41907.40566,41809.51638,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,3.58901745,3.514822418,3.454889363,3.359326969,3.57947341,3.598539203,3.486063363,3.437208499,3.392054463,3.452357876,3.347959185,3.382022214,3.34354668,3.413184016,3.46178726,3.375875405,2.783199847,2.746619729,3.366219073,3.274276625,3.581176315,3.424470523,3.19248242,3.359795916,3.326223411,3.231376805,3.151532753,3.090402862,3.09988911,3.054664148,2.934309944,2.917317484,2.959841869,2.920967572,3.13286495,10.66346258,10.7141335,10.59728868,10.45861049,10.38312611,10.29960644,10.06339208,10.07433319,10.01212427,10.08698312,10.2302509,10.18913013,10.18190961,10.15021841,10.15998565,10.21178207,10.27418946,10.29257473,10.19986676,10.25663561,10.41305497,10.35075927,10.35988256,10.41927367,10.50048857,10.58064091,10.64321784,10.64087926,10.70322052,10.37424657,10.43097274,10.57629622,10.620754,10.65520148,10.68628892,36904.688,36857.017,36871.685,35342.546,46394.884,49926.205,47234.627,47693.002,48367.73,54487.953,52009.061,57010.849,58136.618,65980.331,73130.981,70641.088,41059.399,41646.119,81495.408,78374.791,112562.232,101414.552,84704.033,106841.712,113240.627,116148.558,123874.927,135627.662,157354.637,167959.601,160812.618,165440.372,176386.367,170706.184,211369.547
7,Argentina,asia,134869,3.897888332,3.600810028,3.591793419,3.595564042,3.582148497,3.329225647,3.39465765,3.685883317,3.835714346,3.642232454,3.438151412,3.539959219,3.619280358,3.471494485,3.558099412,3.674141708,3.830198391,3.870270007,3.876926392,4.030588815,3.854991948,3.587350317,3.309683688,3.546088324,4.094082917,4.168128548,4.465186021,4.414246417,4.718224428,4.445387803,4.607163748,4.64437307,4.609179856,4.498539995,4.781507775,2758.835212,2776.32199,2927.89756,3553.377752,2659.7086,2926.12697,3613.621709,3562.875602,3985.19121,2383.867693,4333.482973,5735.360327,6823.537616,6969.118088,7483.139682,7408.708238,7721.354543,8213.1272,8289.505729,7774.736203,7708.100996,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,1.360434953,1.281158828,1.278651637,1.279700875,1.275962759,1.202739739,1.222202916,1.304510203,1.344355688,1.292596805,1.234933947,1.264115207,1.28627521,1.244585189,1.269226529,1.301319557,1.342916601,1.353324274,1.355042673,1.393912473,1.349368918,1.277413857,1.196852622,1.265845115,1.40954274,1.427467146,1.496310875,1.484837133,1.551432548,1.49186711,1.527612429,1.535656394,1.528049936,1.503752899,1.564755931,7.922563845,7.928882306,7.982039888,8.17565391,7.885971847,7.981434974,8.192465792,8.178323251,8.290340573,7.776479529,8.374126879,8.654405857,8.828133328,8.849243966,8.920407726,8.910411376,8.951745087,9.013489031,9.022745624,8.958634808,8.950027132,8.882998347,7.860726635,8.11665775,8.361175752,8.538925588,8.685924828,8.888128732,9.107296404,9.014950253,9.2482106,9.461010697,9.479043299,9.4788591,9.420179673,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112147.861,117098.311,121352.031,117927.053,122408.127,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192356.152,189851.591,204024.546
8,Armenia,northamerica,428548,,,,,,,,,,,,,1.692469568,0.759981244,0.824153606,1.059975483,0.809044887,1.032301987,1.081691081,0.97580205,1.128917501,1.161155504,1.00317471,1.136090873,1.214707803,1.46002558,1.481274594,1.726828042,1.911933411,1.509669013,1.46561782,1.709501839,1.974479488,1.897040086,1.898719374,,,,,,,,,,,637.8546595,590.1210473,369.6326166,357.2032777,400.5152381,456.3750487,504.0585594,523.283068,609.1724375,597.4325147,622.7421391,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,,,,,,,,,,,,,0.526188745,-0.274461525,-0.193398351,0.058245779,-0.211900879,0.031791247,0.078525632,-0.024495531,0.12125921,0.149415633,0.003169681,0.127593311,0.194503557,0.378453956,0.392902929,0.546286224,0.648114987,0.41189043,0.382276874,0.536202006,0.680304813,0.640294822,0.641179645,,,,,,,,,,,6.458110451,6.380327681,5.912509584,5.878305025,5.992751813,6.123314947,6.222692451,6.260122557,6.412101376,6.392641331,6.434132531,6.543081613,6.663440054,6.835321482,7.083319909,7.404737339,7.677003732,8.051747957,8.296760274,8.004479969,8.07663114,8.167863986,8.211172647,8.252755086,8.290601608,0,,,,,,,,,,,,5826.863,2555.899,2706.246,3410.31,2563.233,3234.294,3362.639,3014.274,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4917.447,5694.851,5496.833,5529.836
11,Australia,africa,228454,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.45288167,15.12796621,15.31776851,15.7014518,15.57658628,15.59651881,16.50180039,16.51427321,16.93569585,17.19029769,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07290468,16.09583317,15.38876602,10194.39454,11833.82099,12766.59495,11518.66852,12431.94585,11437.71314,11364.3268,11624.45821,14254.6456,17798.0721,18211.13931,18821.25034,18569.50504,17633.97795,18045.86526,20319.63063,21861.32551,23468.59683,21318.96417,20533.03506,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,2.70970989,2.73647573,2.735985149,2.683763255,2.722674431,2.728402364,2.706754238,2.756647191,2.759767365,2.80456347,2.737795502,2.716545098,2.729013495,2.753753179,2.745768907,2.747047736,2.803469489,2.80422505,2.829423575,2.844345137,2.844944838,2.817404776,2.854770589,2.827429529,2.834771855,2.843146869,2.870815005,2.882858047,2.899269591,2.901431592,2.875869611,2.864420003,2.837492685,2.778560429,2.733637764,9.229593293,9.378716896,9.454587269,9.351724348,9.428024717,9.344671345,9.3382345,9.360866624,9.56483814,9.786845421,9.809788736,9.842741848,9.829276,9.777582885,9.800671866,9.919342724,9.992474396,10.0634185,9.967352292,9.929790334,9.984110761,9.877700974,9.907603235,10.06249916,10.32320647,10.43409353,10.4925213,10.62035259,10.81177951,10.66364736,10.8594244,11.04320714,11.12744161,11.12946801,11.04309448,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263704.971,261471.768,267984.36,277397.549,278119.948,281860.288,302164.467,305794.797,316883.805,325343.574,329443.28,324844.862,341353.696,336271.234,342699.485,350172.831,365346.877,372090.49,385904.079,394792.887,390861.863,391818.95,388126.281,372266.506,361261.839
12,Austria,latam,268454,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.513246156,7.944096184,7.226236428,7.223017309,7.189264701,7.521516107,7.938008299,7.863667996,7.981004261,7.741130615,7.774259739,8.192769898,8.299115796,8.889562334,8.858363703,9.020169598,8.727297872,8.406418936,8.295095978,7.518751102,8.071131802,7.748134305,7.387077163,7.368748145,6.86986793,10869.54642,9385.249018,9410.347225,9537.407431,8991.065076,9172.096769,13083.0727,16392.76957,17578.61894,17468.94619,21680.98969,22410.91174,24880.16407,24081.52781,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,1.935640309,2.003661486,1.961801066,1.927800479,1.97606221,1.978345027,1.966315515,2.031225064,1.950475526,1.960439654,2.016667617,2.072429034,1.977718351,1.977272775,1.9725889,2.017767728,2.0716624,2.062253164,2.077064251,2.046547751,2.050818243,2.103252046,2.116148979,2.184877817,2.181362064,2.199463136,2.1664558,2.128995573,2.115664494,2.017400047,2.088293721,2.04745208,1.999732144,1.997247834,1.927144882,9.293720252,9.146894482,9.149565131,9.16297697,9.103986594,9.123921194,9.479074513,9.704595637,9.77443861,9.76818008,9.984191104,10.01730325,10.12182614,10.08920034,10.15217021,10.31975575,10.30256822,10.19262401,10.2169059,10.21002685,10.10905589,10.10795842,10.1811854,10.38043257,10.51383778,10.55589435,10.61239198,10.75482948,10.8533826,10.7781889,10.75487795,10.84690614,10.79071388,10.8340107,10.85355142,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,57685.577,61605.6,56658.817,57102.524,57054.853,59783.101,63178.743,62658.029,63662.787,61869.624,62283.995,65888.656,67073.097,72195.896,72390.247,74216.413,72162.893,69735.339,69027.608,62731.369,67502.136,65019.577,62272.994,62485.68,58712.337
13,Azerbaijan,asia,94785,,,,,,,,,,,,,7.61863709,6.464585857,5.525358563,4.337414444,4.026472755,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.646179877,3.82487717,3.785068836,3.931560609,,,,,,,,,,,1237.324492,1209.237493,676.1515115,529.8136618,436.216869,397.1981161,409.2107552,505.5637747,561.9070354,573.8932966,655.0974326,703.6838434,763.080638,883.6439965,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,,,,,,,,,,,,,2.030597494,1.866338951,1.709348144,1.46727842,1.392890746,1.335796209,1.387037987,1.27531682,1.299175077,1.266131914,1.287563031,1.313231592,1.351503528,1.408985442,1.529593489,1.268450727,1.399058423,1.271351475,1.220306445,1.29368001,1.341526354,1.331064073,1.369036449,,,,,,,,,,,7.12070666,7.097745269,6.51641718,6.272525363,6.078139526,5.984435189,6.014230317,6.225674192,6.331336419,6.352443485,6.484783977,6.556329169,6.637363711,6.784054263,6.951781139,7.364168469,7.813220352,8.25620183,8.625976527,8.507202408,8.672966403,8.880403505,8.922164131,8.97154458,8.973517832,0,,,,,,,,,,,,56240.779,48452.071,41976.149,33333.03,31257.508,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122,33446.707,35555.232,35643.24,37487.741
